Ano;Mês;CLIENTE;RECEITA;PESO;Classificação
2021;fevereiro;Clinte 20;R$ 95;7;FRACIONADO
2020;março;Clinte 21;R$ 314;883;FRACIONADO
2020;abril;Clinte 21;R$ 327;462;FRACIONADO
2020;maio;Clinte 21;R$ 131;176;FRACIONADO
2020;junho;Clinte 21;R$ 197;220;FRACIONADO
2020;julho;Clinte 21;R$ 65;55;FRACIONADO
2020;agosto;Clinte 21;R$ 205;211;FRACIONADO
2020;outubro;Clinte 21;R$ 427;480;FRACIONADO
2020;novembro;Clinte 21;R$ 287;308;FRACIONADO
2020;dezembro;Clinte 21;R$ 368;319;FRACIONADO
2021;janeiro;Clinte 21;R$ 155;190;FRACIONADO
2021;fevereiro;Clinte 21;R$ 261;300;FRACIONADO
2021;março;Clinte 21;R$ 462;479;FRACIONADO
2020;janeiro;Clinte 22;R$ 166;32;FRACIONADO
2020;fevereiro;Clinte 22;R$ 93;22;FRACIONADO
2020;março;Clinte 22;R$ 227;45;FRACIONADO
2020;abril;Clinte 22;R$ 58;11;FRACIONADO
2020;maio;Clinte 22;R$ 191;44;FRACIONADO
2020;junho;Clinte 22;R$ 141;15;FRACIONADO
2020;julho;Clinte 22;R$ 60;34;FRACIONADO
2020;agosto;Clinte 22;R$ 148;38;FRACIONADO
2020;outubro;Clinte 22;R$ 35;5;FRACIONADO
2020;novembro;Clinte 22;R$ 92;19;FRACIONADO
2020;dezembro;Clinte 22;R$ 66;7;FRACIONADO
2021;janeiro;Clinte 22;R$ 327;49;FRACIONADO
2021;março;Clinte 22;R$ 50;5;FRACIONADO
2020;junho;Clinte 23;R$ 68;74;FRACIONADO
2020;agosto;Clinte 23;R$ 274;213;FRACIONADO
2020;janeiro;Clinte 24;R$ 2.052;763;FRACIONADO
2020;fevereiro;Clinte 24;R$ 1.666;459;FRACIONADO
2020;março;Clinte 24;R$ 1.662;609;FRACIONADO
2020;maio;Clinte 24;R$ 648;165;FRACIONADO
2020;junho;Clinte 24;R$ 1.104;305;FRACIONADO
2020;julho;Clinte 24;R$ 979;256;FRACIONADO
2020;agosto;Clinte 24;R$ 2.229;513;FRACIONADO
2020;setembro;Clinte 24;R$ 2.202;822;FRACIONADO
2020;outubro;Clinte 24;R$ 2.738;762;FRACIONADO
2020;novembro;Clinte 24;R$ 4.914;1716;FRACIONADO
2020;dezembro;Clinte 24;R$ 2.033;605;FRACIONADO
2021;janeiro;Clinte 24;R$ 1.914;306;FRACIONADO
2021;fevereiro;Clinte 24;R$ 1.586;577;FRACIONADO
2021;março;Clinte 24;R$ 1.191;216;FRACIONADO
2021;janeiro;Clinte 25;R$ 79;10;FRACIONADO
2020;janeiro;Clinte 26;R$ 1.719;4808;FRACIONADO
2020;fevereiro;Clinte 26;R$ 1.753;4899;FRACIONADO
2020;março;Clinte 26;R$ 1.826;5188;FRACIONADO
2020;abril;Clinte 26;R$ 887;1950;FRACIONADO
2020;maio;Clinte 26;R$ 1.319;3309;FRACIONADO
2020;junho;Clinte 26;R$ 2.979;6696;FRACIONADO
2020;julho;Clinte 26;R$ 2.251;4869;FRACIONADO
2020;agosto;Clinte 26;R$ 1.306;2209;FRACIONADO
2020;setembro;Clinte 26;R$ 3.053;5655;FRACIONADO
2020;outubro;Clinte 26;R$ 3.267;7547;FRACIONADO
2020;novembro;Clinte 26;R$ 1.002;1917;FRACIONADO
2020;dezembro;Clinte 26;R$ 1.985;3673;FRACIONADO
2021;fevereiro;Clinte 26;R$ 2.251;3611;FRACIONADO
2021;março;Clinte 26;R$ 1.573;2332;FRACIONADO
2020;abril;Clinte 27;R$ 99;46;FRACIONADO
2020;maio;Clinte 27;R$ 383;225;FRACIONADO
2020;junho;Clinte 27;R$ 99;40;FRACIONADO
2020;julho;Clinte 27;R$ 197;95;FRACIONADO
