Ano;Mês;CLIENTE;RECEITA;PESO;Classificação
2020;junho;Clinte 561;R$ 49;1;FRACIONADO
2020;abril;Clinte 562;R$ 58;1;FRACIONADO
2020;maio;Clinte 562;R$ 59;30;FRACIONADO
2020;junho;Clinte 562;R$ 121;50;FRACIONADO
2021;janeiro;Clinte 562;R$ 64;31;FRACIONADO
2020;janeiro;Clinte 563;R$ 270;164;FRACIONADO
2020;fevereiro;Clinte 563;R$ 93;80;FRACIONADO
2020;março;Clinte 563;R$ 286;175;FRACIONADO
2020;abril;Clinte 563;R$ 508;314;FRACIONADO
2020;maio;Clinte 563;R$ 372;361;FRACIONADO
2020;julho;Clinte 563;R$ 106;64;FRACIONADO
2020;agosto;Clinte 563;R$ 50;44;FRACIONADO
2020;outubro;Clinte 563;R$ 90;41;FRACIONADO
2021;fevereiro;Clinte 563;R$ 56;32;FRACIONADO
2020;janeiro;Clinte 564;R$ 199;25;FRACIONADO
2020;abril;Clinte 564;R$ 142;47;FRACIONADO
2020;maio;Clinte 564;R$ 52;18;FRACIONADO
2020;julho;Clinte 564;R$ 91;11;FRACIONADO
2020;setembro;Clinte 564;R$ 203;140;FRACIONADO
2020;outubro;Clinte 564;R$ 82;18;FRACIONADO
2021;janeiro;Clinte 564;R$ 129;44;FRACIONADO
2021;fevereiro;Clinte 564;R$ 440;167;FRACIONADO
2020;abril;Clinte 565;R$ 75;20;FRACIONADO
2020;janeiro;Clinte 566;R$ 143;100;FRACIONADO
2020;fevereiro;Clinte 566;R$ 100;103;FRACIONADO
2020;março;Clinte 566;R$ 202;260;FRACIONADO
2020;maio;Clinte 566;R$ 106;88;FRACIONADO
2020;junho;Clinte 566;R$ 119;132;FRACIONADO
2020;julho;Clinte 566;R$ 211;308;FRACIONADO
2020;agosto;Clinte 566;R$ 39;25;FRACIONADO
2020;setembro;Clinte 566;R$ 81;55;FRACIONADO
2020;outubro;Clinte 566;R$ 216;275;FRACIONADO
2020;novembro;Clinte 566;R$ 111;78;FRACIONADO
2020;dezembro;Clinte 566;R$ 114;136;FRACIONADO
2021;janeiro;Clinte 566;R$ 236;163;FRACIONADO
2021;fevereiro;Clinte 566;R$ 262;340;FRACIONADO
2020;agosto;Clinte 567;R$ 156;41;FRACIONADO
2020;julho;Clinte 568;R$ 81;1;FRACIONADO
2020;janeiro;Clinte 569;R$ 152;19;FRACIONADO
2020;março;Clinte 569;R$ 77;30;FRACIONADO
2020;abril;Clinte 569;R$ 128;140;FRACIONADO
2020;junho;Clinte 569;R$ 176;98;FRACIONADO
2020;julho;Clinte 569;R$ 43;2;FRACIONADO
2020;janeiro;Clinte 570;R$ 82;10;FRACIONADO
2020;janeiro;Clinte 571;R$ 255;130;FRACIONADO
2020;fevereiro;Clinte 571;R$ 302;133;FRACIONADO
2020;março;Clinte 571;R$ 861;428;FRACIONADO
2020;abril;Clinte 571;R$ 873;489;FRACIONADO
2020;maio;Clinte 571;R$ 645;335;FRACIONADO
2020;junho;Clinte 571;R$ 1.143;682;FRACIONADO
2020;julho;Clinte 571;R$ 356;255;FRACIONADO
2020;agosto;Clinte 571;R$ 805;410;FRACIONADO
2020;setembro;Clinte 571;R$ 612;195;FRACIONADO
2020;outubro;Clinte 571;R$ 681;281;FRACIONADO
2020;novembro;Clinte 571;R$ 1.236;594;FRACIONADO
2020;dezembro;Clinte 571;R$ 1.368;511;FRACIONADO
2021;janeiro;Clinte 571;R$ 800;415;FRACIONADO
2021;fevereiro;Clinte 571;R$ 703;169;FRACIONADO
2021;março;Clinte 571;R$ 1.303;367;FRACIONADO
2020;fevereiro;Clinte 572;R$ 38;10;FRACIONADO
2020;março;Clinte 572;R$ 174;19;FRACIONADO
2020;maio;Clinte 572;R$ 56;20;FRACIONADO
2020;julho;Clinte 572;R$ 177;50;FRACIONADO
2020;outubro;Clinte 572;R$ 191;61;FRACIONADO
2020;novembro;Clinte 572;R$ 60;30;FRACIONADO
2020;setembro;Clinte 573;R$ 95;94;FRACIONADO
2020;janeiro;Clinte 574;R$ 124;38;FRACIONADO
2020;maio;Clinte 574;R$ 150;52;FRACIONADO
2020;junho;Clinte 574;R$ 127;41;FRACIONADO
2020;julho;Clinte 574;R$ 187;166;FRACIONADO
2020;agosto;Clinte 574;R$ 65;30;FRACIONADO
2020;setembro;Clinte 574;R$ 295;87;FRACIONADO
2020;novembro;Clinte 574;R$ 61;39;FRACIONADO
2020;dezembro;Clinte 574;R$ 62;41;FRACIONADO
2021;janeiro;Clinte 574;R$ 133;98;FRACIONADO
2021;fevereiro;Clinte 574;R$ 69;18;FRACIONADO
2021;março;Clinte 574;R$ 87;78;FRACIONADO
2020;fevereiro;Clinte 575;R$ 145;6;FRACIONADO
2021;março;Clinte 576;R$ 101;130;FRACIONADO
2020;janeiro;Clinte 577;R$ 162;296;FRACIONADO
2020;fevereiro;Clinte 577;R$ 644;1055;FRACIONADO
2020;abril;Clinte 577;R$ 276;504;FRACIONADO
2020;maio;Clinte 577;R$ 229;347;FRACIONADO
2020;julho;Clinte 577;R$ 382;711;FRACIONADO
2020;agosto;Clinte 577;R$ 219;393;FRACIONADO
2020;novembro;Clinte 577;R$ 196;177;FRACIONADO
2020;janeiro;Clinte 578;R$ 319;121;FRACIONADO
2020;fevereiro;Clinte 578;R$ 230;123;FRACIONADO
2020;março;Clinte 578;R$ 156;119;FRACIONADO
2020;abril;Clinte 578;R$ 173;52;FRACIONADO
2020;maio;Clinte 578;R$ 207;95;FRACIONADO
2020;junho;Clinte 578;R$ 346;127;FRACIONADO
2020;julho;Clinte 578;R$ 242;78;FRACIONADO
2020;agosto;Clinte 578;R$ 102;22;FRACIONADO
2020;setembro;Clinte 578;R$ 215;66;FRACIONADO
2020;outubro;Clinte 578;R$ 68;16;FRACIONADO
2020;novembro;Clinte 578;R$ 126;43;FRACIONADO
2020;dezembro;Clinte 578;R$ 89;10;FRACIONADO
2021;janeiro;Clinte 578;R$ 278;93;FRACIONADO
2021;fevereiro;Clinte 578;R$ 116;29;FRACIONADO
2021;março;Clinte 578;R$ 64;30;FRACIONADO
2020;março;Clinte 579;R$ 95;8;FRACIONADO
2020;julho;Clinte 579;R$ 160;115;FRACIONADO
2020;fevereiro;Clinte 580;R$ 67;8;FRACIONADO
2020;março;Clinte 580;R$ 66;5;FRACIONADO
2020;julho;Clinte 580;R$ 62;5;FRACIONADO
2020;janeiro;Clinte 581;R$ 1.170;1236;FRACIONADO
2020;fevereiro;Clinte 581;R$ 960;1197;FRACIONADO
2020;março;Clinte 581;R$ 890;985;FRACIONADO
2020;abril;Clinte 581;R$ 667;731;FRACIONADO
2020;maio;Clinte 581;R$ 1.135;1310;FRACIONADO
2020;junho;Clinte 581;R$ 1.217;1324;FRACIONADO
2020;julho;Clinte 581;R$ 1.018;864;FRACIONADO
2020;agosto;Clinte 581;R$ 112;126;FRACIONADO
2020;outubro;Clinte 581;R$ 28;5;FRACIONADO
2020;novembro;Clinte 581;R$ 40;30;FRACIONADO
2021;fevereiro;Clinte 581;R$ 308;261;FRACIONADO
2021;março;Clinte 581;R$ 121;111;FRACIONADO
2020;julho;Clinte 582;R$ 185;137;FRACIONADO
2020;setembro;Clinte 582;R$ 85;5;FRACIONADO
2021;janeiro;Clinte 582;R$ 100;30;FRACIONADO
2020;abril;Clinte 583;R$ 61;25;FRACIONADO
2020;outubro;Clinte 583;R$ 130;69;FRACIONADO
2021;janeiro;Clinte 583;R$ 48;70;FRACIONADO
2020;janeiro;Clinte 584;R$ 275;46;FRACIONADO
2020;fevereiro;Clinte 584;R$ 272;76;FRACIONADO
2020;março;Clinte 584;R$ 258;55;FRACIONADO
2020;fevereiro;Clinte 585;R$ 390;709;FRACIONADO
2020;março;Clinte 585;R$ 326;840;FRACIONADO
2020;abril;Clinte 585;R$ 2.348;15486;FRACIONADO
2020;maio;Clinte 585;R$ 1.004;590;FRACIONADO
2020;junho;Clinte 585;R$ 1.934;1451;FRACIONADO
2020;julho;Clinte 585;R$ 606;371;FRACIONADO
2020;agosto;Clinte 585;R$ 2.022;1215;FRACIONADO
2020;setembro;Clinte 585;R$ 678;618;FRACIONADO
2020;outubro;Clinte 585;R$ 939;507;FRACIONADO
2020;novembro;Clinte 585;R$ 705;725;FRACIONADO
2020;dezembro;Clinte 585;R$ 481;154;FRACIONADO
2021;janeiro;Clinte 585;R$ 78;102;FRACIONADO
2020;fevereiro;Clinte 586;R$ 505;806;FRACIONADO
2020;março;Clinte 586;R$ 2.154;3546;FRACIONADO
2020;abril;Clinte 586;R$ 1.429;2421;FRACIONADO
2020;maio;Clinte 586;R$ 407;879;FRACIONADO
2020;junho;Clinte 586;R$ 375;490;FRACIONADO
2020;julho;Clinte 586;R$ 724;1221;FRACIONADO
2020;agosto;Clinte 586;R$ 264;469;FRACIONADO
2020;setembro;Clinte 586;R$ 3.447;5761;FRACIONADO
2020;outubro;Clinte 586;R$ 1.037;1549;FRACIONADO
2020;novembro;Clinte 586;R$ 628;780;FRACIONADO
2020;dezembro;Clinte 586;R$ 1.952;3042;FRACIONADO
2021;janeiro;Clinte 586;R$ 1.055;1517;FRACIONADO
2021;fevereiro;Clinte 586;R$ 59;35;FRACIONADO
2020;janeiro;Clinte 587;R$ 50;7;FRACIONADO
2020;fevereiro;Clinte 587;R$ 50;6;FRACIONADO
2020;março;Clinte 587;R$ 55;23;FRACIONADO
2020;maio;Clinte 587;R$ 71;60;FRACIONADO
2020;junho;Clinte 587;R$ 58;18;FRACIONADO
2020;julho;Clinte 587;R$ 50;3;FRACIONADO
2020;agosto;Clinte 587;R$ 67;39;FRACIONADO
2020;setembro;Clinte 587;R$ 50;6;FRACIONADO
2020;outubro;Clinte 587;R$ 64;27;FRACIONADO
2020;novembro;Clinte 587;R$ 65;39;FRACIONADO
2020;dezembro;Clinte 587;R$ 52;11;FRACIONADO
2021;janeiro;Clinte 587;R$ 121;37;FRACIONADO
2020;fevereiro;Clinte 588;R$ 373;167;FRACIONADO
2020;janeiro;Clinte 589;R$ 654;620;FRACIONADO
2020;fevereiro;Clinte 589;R$ 470;346;FRACIONADO
2020;março;Clinte 589;R$ 359;188;FRACIONADO
2020;abril;Clinte 589;R$ 351;134;FRACIONADO
2020;maio;Clinte 589;R$ 231;151;FRACIONADO
2020;julho;Clinte 589;R$ 294;269;FRACIONADO
2020;setembro;Clinte 589;R$ 438;442;FRACIONADO
2020;outubro;Clinte 589;R$ 790;598;FRACIONADO
2020;novembro;Clinte 589;R$ 471;465;FRACIONADO
2020;dezembro;Clinte 589;R$ 1.322;1196;FRACIONADO
2021;janeiro;Clinte 589;R$ 207;222;FRACIONADO
2021;fevereiro;Clinte 589;R$ 202;135;FRACIONADO
2021;março;Clinte 589;R$ 476;519;FRACIONADO
2020;janeiro;Clinte 590;R$ 30;8;FRACIONADO
2020;abril;Clinte 590;R$ 122;28;FRACIONADO
2020;maio;Clinte 590;R$ 39;2;FRACIONADO
2020;junho;Clinte 590;R$ 204;279;FRACIONADO
2020;julho;Clinte 590;R$ 111;133;FRACIONADO
2020;agosto;Clinte 590;R$ 55;37;FRACIONADO
2020;outubro;Clinte 590;R$ 178;250;FRACIONADO
2020;dezembro;Clinte 590;R$ 418;363;FRACIONADO
2021;janeiro;Clinte 590;R$ 326;370;FRACIONADO
2021;março;Clinte 590;R$ 75;53;FRACIONADO
2020;julho;Clinte 591;R$ 158;20;FRACIONADO
2020;junho;Clinte 592;R$ 49;5;FRACIONADO
2020;abril;Clinte 593;R$ 71;10;FRACIONADO
2020;novembro;Clinte 594;R$ 51;14;FRACIONADO
2020;janeiro;Clinte 595;R$ 112;3;FRACIONADO
2020;junho;Clinte 595;R$ 129;3;FRACIONADO
2020;julho;Clinte 595;R$ 110;2;FRACIONADO
2021;fevereiro;Clinte 595;R$ 126;2;FRACIONADO
2021;março;Clinte 595;R$ 123;2;FRACIONADO
2020;abril;Clinte 596;R$ 87;8;FRACIONADO
2020;agosto;Clinte 596;R$ 114;20;FRACIONADO
2020;dezembro;Clinte 596;R$ 206;80;FRACIONADO
2020;fevereiro;Clinte 597;R$ 75;1;FRACIONADO
2020;janeiro;Clinte 598;R$ 58;90;FRACIONADO
2020;março;Clinte 598;R$ 163;300;FRACIONADO
2020;junho;Clinte 598;R$ 84;160;FRACIONADO
2020;julho;Clinte 598;R$ 87;168;FRACIONADO
2020;agosto;Clinte 598;R$ 118;238;FRACIONADO
2021;janeiro;Clinte 599;R$ 234;99;FRACIONADO
2020;março;Clinte 600;R$ 75;12;FRACIONADO
2020;agosto;Clinte 600;R$ 55;35;FRACIONADO
2021;fevereiro;Clinte 600;R$ 140;97;FRACIONADO
2021;março;Clinte 600;R$ 1.469;1533;FRACIONADO
2020;maio;Clinte 601;R$ 158;1;FRACIONADO
2021;janeiro;Clinte 602;R$ 314;9;FRACIONADO
2021;fevereiro;Clinte 602;R$ 313;7;FRACIONADO
2020;fevereiro;Clinte 603;R$ 110;5;FRACIONADO
2020;novembro;Clinte 603;R$ 82;6;FRACIONADO
2020;dezembro;Clinte 603;R$ 99;6;FRACIONADO
2021;janeiro;Clinte 603;R$ 103;10;FRACIONADO
2021;fevereiro;Clinte 603;R$ 99;20;FRACIONADO
2021;março;Clinte 603;R$ 90;4;FRACIONADO
2020;julho;Clinte 604;R$ 74;4;FRACIONADO
2020;outubro;Clinte 604;R$ 76;18;FRACIONADO
2020;fevereiro;Clinte 605;R$ 143;40;FRACIONADO
2020;agosto;Clinte 605;R$ 92;1;FRACIONADO
2020;abril;Clinte 606;R$ 56;22;FRACIONADO
2020;maio;Clinte 606;R$ 48;2;FRACIONADO
2021;fevereiro;Clinte 606;R$ 88;20;FRACIONADO
2020;março;Clinte 607;R$ 79;1;FRACIONADO
2020;fevereiro;Clinte 608;R$ 98;72;FRACIONADO
2020;março;Clinte 608;R$ 97;55;FRACIONADO
2020;abril;Clinte 608;R$ 44;1;FRACIONADO
2020;junho;Clinte 608;R$ 43;10;FRACIONADO
2020;dezembro;Clinte 609;R$ 76;109;FRACIONADO
2020;janeiro;Clinte 610;R$ 372;411;FRACIONADO
2020;fevereiro;Clinte 610;R$ 277;95;FRACIONADO
2020;março;Clinte 610;R$ 277;247;FRACIONADO
2020;abril;Clinte 610;R$ 562;568;FRACIONADO
2020;maio;Clinte 610;R$ 630;818;FRACIONADO
2020;junho;Clinte 610;R$ 653;1376;FRACIONADO
2020;julho;Clinte 610;R$ 277;205;FRACIONADO
2020;agosto;Clinte 610;R$ 277;187;FRACIONADO
2020;setembro;Clinte 610;R$ 195;369;FRACIONADO
2020;outubro;Clinte 610;R$ 285;286;FRACIONADO
2020;novembro;Clinte 610;R$ 204;402;FRACIONADO
2020;dezembro;Clinte 610;R$ 130;446;FRACIONADO
2021;janeiro;Clinte 610;R$ 55;142;FRACIONADO
2021;fevereiro;Clinte 610;R$ 121;76;FRACIONADO
2021;março;Clinte 610;R$ 363;196;FRACIONADO
2020;janeiro;Clinte 611;R$ 2.387;3364;FRACIONADO
2020;fevereiro;Clinte 611;R$ 2.607;5531;FRACIONADO
2020;março;Clinte 611;R$ 1.819;2903;FRACIONADO
2020;abril;Clinte 611;R$ 1.846;3202;FRACIONADO
2020;maio;Clinte 611;R$ 2.967;6716;FRACIONADO
2020;junho;Clinte 611;R$ 2.547;5735;FRACIONADO
2020;julho;Clinte 611;R$ 1.291;2721;FRACIONADO
2020;agosto;Clinte 611;R$ 1.474;2821;FRACIONADO
2020;setembro;Clinte 611;R$ 1.887;4310;FRACIONADO
2020;outubro;Clinte 611;R$ 3.142;7784;FRACIONADO
2020;novembro;Clinte 611;R$ 2.610;10390;FRACIONADO
2020;dezembro;Clinte 611;R$ 1.141;2703;FRACIONADO
2021;janeiro;Clinte 611;R$ 2.218;4328;FRACIONADO
2021;fevereiro;Clinte 611;R$ 1.456;2660;FRACIONADO
2021;março;Clinte 611;R$ 1.245;1929;FRACIONADO
2020;fevereiro;Clinte 612;R$ 137;70;FRACIONADO
2020;abril;Clinte 612;R$ 137;70;FRACIONADO
2020;junho;Clinte 612;R$ 137;70;FRACIONADO
2020;julho;Clinte 612;R$ 137;60;FRACIONADO
2020;agosto;Clinte 612;R$ 137;70;FRACIONADO
2020;setembro;Clinte 612;R$ 221;80;FRACIONADO
2020;dezembro;Clinte 612;R$ 137;60;FRACIONADO
2021;janeiro;Clinte 612;R$ 94;18;FRACIONADO
2021;março;Clinte 612;R$ 313;103;FRACIONADO
2020;novembro;Clinte 613;R$ 77;9;FRACIONADO
2021;fevereiro;Clinte 613;R$ 71;10;FRACIONADO
2020;fevereiro;Clinte 614;R$ 85;13;FRACIONADO
2020;abril;Clinte 614;R$ 134;18;FRACIONADO
2020;julho;Clinte 614;R$ 48;8;FRACIONADO
2020;novembro;Clinte 615;R$ 35;1;FRACIONADO
2020;fevereiro;Clinte 616;R$ 81;9;FRACIONADO
2020;novembro;Clinte 616;R$ 81;3;FRACIONADO
2020;fevereiro;Clinte 617;R$ 83;18;FRACIONADO
2020;novembro;Clinte 617;R$ 81;1;FRACIONADO
2021;março;Clinte 618;R$ 80;5;FRACIONADO
2020;fevereiro;Clinte 619;R$ 170;25;FRACIONADO
2020;março;Clinte 619;R$ 42;1;FRACIONADO
2020;maio;Clinte 619;R$ 151;10;FRACIONADO
2020;agosto;Clinte 619;R$ 123;10;FRACIONADO
2020;dezembro;Clinte 619;R$ 86;10;FRACIONADO
2020;abril;Clinte 620;R$ 343;39;FRACIONADO
2020;julho;Clinte 620;R$ 151;10;FRACIONADO
2020;março;Clinte 621;R$ 83;10;FRACIONADO
2020;setembro;Clinte 621;R$ 86;10;FRACIONADO
2020;novembro;Clinte 622;R$ 81;1;FRACIONADO
2020;abril;Clinte 623;R$ 71;57;FRACIONADO
2020;maio;Clinte 623;R$ 129;83;FRACIONADO
2020;junho;Clinte 623;R$ 322;284;FRACIONADO
2020;julho;Clinte 623;R$ 184;180;FRACIONADO
2020;agosto;Clinte 623;R$ 303;288;FRACIONADO
2020;setembro;Clinte 623;R$ 120;129;FRACIONADO
2020;outubro;Clinte 623;R$ 195;213;FRACIONADO
2020;dezembro;Clinte 623;R$ 181;208;FRACIONADO
2021;janeiro;Clinte 623;R$ 167;123;FRACIONADO
2021;março;Clinte 623;R$ 101;85;FRACIONADO
2020;março;Clinte 624;R$ 83;8;FRACIONADO
2020;janeiro;Clinte 625;R$ 123;15;FRACIONADO
2020;fevereiro;Clinte 625;R$ 133;39;FRACIONADO
2020;março;Clinte 625;R$ 127;29;FRACIONADO
2020;maio;Clinte 625;R$ 60;5;FRACIONADO
2020;dezembro;Clinte 626;R$ 51;33;FRACIONADO
2020;janeiro;Clinte 627;R$ 90;7;FRACIONADO
2020;fevereiro;Clinte 627;R$ 119;26;FRACIONADO
2020;março;Clinte 627;R$ 31;20;FRACIONADO
2020;junho;Clinte 627;R$ 31;18;FRACIONADO
2020;julho;Clinte 627;R$ 62;8;FRACIONADO
2020;agosto;Clinte 627;R$ 62;7;FRACIONADO
2020;setembro;Clinte 627;R$ 31;26;FRACIONADO
2021;janeiro;Clinte 627;R$ 31;5;FRACIONADO
2020;janeiro;Clinte 628;R$ 157;48;FRACIONADO
2020;janeiro;Clinte 629;R$ 399;208;FRACIONADO
2020;fevereiro;Clinte 629;R$ 58;63;FRACIONADO
2020;março;Clinte 629;R$ 53;10;FRACIONADO
2020;abril;Clinte 629;R$ 262;101;FRACIONADO
2020;maio;Clinte 629;R$ 118;59;FRACIONADO
2020;junho;Clinte 629;R$ 380;132;FRACIONADO
2020;julho;Clinte 629;R$ 385;192;FRACIONADO
2020;agosto;Clinte 629;R$ 269;146;FRACIONADO
2020;setembro;Clinte 629;R$ 155;84;FRACIONADO
2020;outubro;Clinte 629;R$ 247;145;FRACIONADO
2020;novembro;Clinte 629;R$ 113;65;FRACIONADO
2020;dezembro;Clinte 629;R$ 63;70;FRACIONADO
2021;janeiro;Clinte 629;R$ 155;60;FRACIONADO
2021;fevereiro;Clinte 629;R$ 189;180;FRACIONADO
2020;fevereiro;Clinte 630;R$ 86;2;FRACIONADO
2020;abril;Clinte 630;R$ 131;5;FRACIONADO
2020;novembro;Clinte 630;R$ 62;1;FRACIONADO
2020;dezembro;Clinte 630;R$ 59;2;FRACIONADO
2021;março;Clinte 630;R$ 127;2;FRACIONADO
2020;outubro;Clinte 631;R$ 60;50;FRACIONADO
2020;janeiro;Clinte 632;R$ 3.958;2677;FRACIONADO
2020;fevereiro;Clinte 632;R$ 3.761;2476;FRACIONADO
2020;março;Clinte 632;R$ 2.408;1384;FRACIONADO
2020;abril;Clinte 632;R$ 1.326;636;FRACIONADO
2020;maio;Clinte 632;R$ 2.516;1651;FRACIONADO
2020;junho;Clinte 632;R$ 2.175;1092;FRACIONADO
2020;julho;Clinte 632;R$ 4.598;2836;FRACIONADO
2020;agosto;Clinte 632;R$ 3.587;2329;FRACIONADO
2020;setembro;Clinte 632;R$ 5.444;3887;FRACIONADO
2020;outubro;Clinte 632;R$ 863;766;FRACIONADO
2020;abril;Clinte 633;R$ 36;15;FRACIONADO
2020;fevereiro;Clinte 634;R$ 243;46;FRACIONADO
2020;março;Clinte 634;R$ 1.011;32;FRACIONADO
2020;janeiro;Clinte 635;R$ 196;74;FRACIONADO
2020;fevereiro;Clinte 635;R$ 63;15;FRACIONADO
2020;março;Clinte 635;R$ 592;384;FRACIONADO
2020;junho;Clinte 635;R$ 121;17;FRACIONADO
2020;setembro;Clinte 635;R$ 457;152;FRACIONADO
2020;outubro;Clinte 635;R$ 205;71;FRACIONADO
2020;novembro;Clinte 635;R$ 154;45;FRACIONADO
2020;dezembro;Clinte 635;R$ 295;109;FRACIONADO
2021;fevereiro;Clinte 635;R$ 33;14;FRACIONADO
2021;março;Clinte 635;R$ 96;34;FRACIONADO
2020;abril;Clinte 636;R$ 205;6;FRACIONADO
2020;junho;Clinte 636;R$ 91;0;FRACIONADO
2020;setembro;Clinte 636;R$ 114;8;FRACIONADO
2020;outubro;Clinte 636;R$ 103;4;FRACIONADO
2020;dezembro;Clinte 636;R$ 89;0;FRACIONADO
2020;janeiro;Clinte 637;R$ 153;7;FRACIONADO
2020;fevereiro;Clinte 637;R$ 175;8;FRACIONADO
2020;abril;Clinte 637;R$ 244;12;FRACIONADO
2020;maio;Clinte 637;R$ 116;30;FRACIONADO
2020;junho;Clinte 637;R$ 65;5;FRACIONADO
2020;julho;Clinte 637;R$ 62;3;FRACIONADO
2020;agosto;Clinte 637;R$ 127;15;FRACIONADO
2020;setembro;Clinte 637;R$ 131;7;FRACIONADO
2020;outubro;Clinte 637;R$ 56;4;FRACIONADO
2020;janeiro;Clinte 638;R$ 464;396;FRACIONADO
2020;fevereiro;Clinte 638;R$ 703;799;FRACIONADO
2020;março;Clinte 638;R$ 1.221;1289;FRACIONADO
2020;abril;Clinte 638;R$ 349;365;FRACIONADO
2020;maio;Clinte 638;R$ 289;315;FRACIONADO
2020;junho;Clinte 638;R$ 252;179;FRACIONADO
2020;julho;Clinte 638;R$ 1.138;1150;FRACIONADO
2020;agosto;Clinte 638;R$ 548;489;FRACIONADO
2020;setembro;Clinte 638;R$ 135;51;FRACIONADO
2020;outubro;Clinte 638;R$ 97;63;FRACIONADO
2020;novembro;Clinte 638;R$ 451;880;FRACIONADO
2020;dezembro;Clinte 638;R$ 1.175;709;FRACIONADO
2021;janeiro;Clinte 638;R$ 120;132;FRACIONADO
2021;fevereiro;Clinte 638;R$ 662;417;FRACIONADO
2020;julho;Clinte 639;R$ 52;15;FRACIONADO
2020;outubro;Clinte 639;R$ 49;5;FRACIONADO
2020;janeiro;Clinte 640;R$ 917;339;FRACIONADO
2020;fevereiro;Clinte 640;R$ 1.790;783;FRACIONADO
2020;março;Clinte 640;R$ 2.225;692;FRACIONADO
2020;abril;Clinte 640;R$ 1.034;360;FRACIONADO
2020;maio;Clinte 640;R$ 252;155;FRACIONADO
2020;junho;Clinte 640;R$ 1.352;898;FRACIONADO
2020;julho;Clinte 640;R$ 550;534;FRACIONADO
2020;agosto;Clinte 640;R$ 472;420;FRACIONADO
2020;setembro;Clinte 640;R$ 1.345;280;FRACIONADO
2020;outubro;Clinte 640;R$ 1.233;559;FRACIONADO
2020;novembro;Clinte 640;R$ 152;150;FRACIONADO
2020;dezembro;Clinte 640;R$ 116;30;FRACIONADO
2021;janeiro;Clinte 640;R$ 163;55;FRACIONADO
2021;fevereiro;Clinte 640;R$ 54;30;FRACIONADO
2020;janeiro;Clinte 641;R$ 344;146;FRACIONADO
2020;fevereiro;Clinte 641;R$ 247;88;FRACIONADO
2020;março;Clinte 641;R$ 240;75;FRACIONADO
2020;abril;Clinte 641;R$ 313;92;FRACIONADO
2020;maio;Clinte 641;R$ 335;108;FRACIONADO
2020;junho;Clinte 641;R$ 480;96;FRACIONADO
2020;julho;Clinte 641;R$ 565;252;FRACIONADO
2020;agosto;Clinte 641;R$ 639;220;FRACIONADO
2020;setembro;Clinte 641;R$ 696;150;FRACIONADO
2020;outubro;Clinte 641;R$ 843;267;FRACIONADO
2020;novembro;Clinte 641;R$ 797;166;FRACIONADO
2020;dezembro;Clinte 641;R$ 1.313;506;FRACIONADO
2021;janeiro;Clinte 641;R$ 539;157;FRACIONADO
2021;fevereiro;Clinte 641;R$ 451;154;FRACIONADO
2021;março;Clinte 641;R$ 269;91;FRACIONADO
2020;janeiro;Clinte 642;R$ 1.838;1786;FRACIONADO
2020;fevereiro;Clinte 642;R$ 3.774;5474;FRACIONADO
2020;março;Clinte 642;R$ 4.395;5046;FRACIONADO
2020;abril;Clinte 642;R$ 4.896;6812;FRACIONADO
2020;maio;Clinte 642;R$ 4.633;6209;FRACIONADO
2020;junho;Clinte 642;R$ 5.363;8531;FRACIONADO
2020;julho;Clinte 642;R$ 1.736;1545;FRACIONADO
2020;agosto;Clinte 642;R$ 1.819;1948;FRACIONADO
2020;setembro;Clinte 642;R$ 1.986;1973;FRACIONADO
2020;outubro;Clinte 642;R$ 2.762;4020;FRACIONADO
2020;novembro;Clinte 642;R$ 2.141;2475;FRACIONADO
2020;dezembro;Clinte 642;R$ 1.601;1418;FRACIONADO
2021;janeiro;Clinte 642;R$ 1.824;2338;FRACIONADO
2021;fevereiro;Clinte 642;R$ 1.597;1854;FRACIONADO
2021;março;Clinte 642;R$ 1.599;2171;FRACIONADO
2020;março;Clinte 643;R$ 197;126;FRACIONADO
2020;janeiro;Clinte 644;R$ 57;35;FRACIONADO
2020;março;Clinte 645;R$ 161;7;FRACIONADO
2020;janeiro;Clinte 646;R$ 278;55;FRACIONADO
2020;fevereiro;Clinte 646;R$ 417;129;FRACIONADO
2020;maio;Clinte 646;R$ 151;35;FRACIONADO
2020;junho;Clinte 646;R$ 141;38;FRACIONADO
2020;julho;Clinte 646;R$ 244;42;FRACIONADO
2020;agosto;Clinte 646;R$ 521;173;FRACIONADO
2020;setembro;Clinte 646;R$ 348;122;FRACIONADO
2021;janeiro;Clinte 646;R$ 267;89;FRACIONADO
2021;fevereiro;Clinte 646;R$ 585;169;FRACIONADO
2021;março;Clinte 646;R$ 263;100;FRACIONADO
2021;fevereiro;Clinte 647;R$ 131;10;FRACIONADO
2020;janeiro;Clinte 648;R$ 73;10;FRACIONADO
2020;fevereiro;Clinte 648;R$ 72;1;FRACIONADO
2020;março;Clinte 648;R$ 72;1;FRACIONADO
2021;fevereiro;Clinte 649;R$ 230;120;FRACIONADO
2021;março;Clinte 649;R$ 95;1;FRACIONADO
2020;outubro;Clinte 650;R$ 120;10;FRACIONADO
2020;novembro;Clinte 650;R$ 140;18;FRACIONADO
2020;dezembro;Clinte 650;R$ 240;23;FRACIONADO
2021;janeiro;Clinte 650;R$ 142;12;FRACIONADO
2021;fevereiro;Clinte 650;R$ 360;53;FRACIONADO
2021;março;Clinte 650;R$ 160;16;FRACIONADO
